CO_NAME,Cline_Code,[Company Long Name,[Sector,[Industry
Indsil Hydro,3288,Indsil Hydro Power & Manganese Ltd,Mining & Mineral products,Ferro Alloys
G M Breweries,3289,G M Breweries Ltd,Alcoholic Beverages,Distilleries
Garlon Poly.,3298,Garlon Polyfab Industries Ltd,Textiles,Textiles - Texturising
Patodia Text Ind,3299,Patodia Textile Industries Ltd,Textiles,Textiles - Texturising
Spentex Inds.,3300,Spentex Industries Ltd,Textiles,Textiles - Cotton Yarn - 100% EOUs
Hitech Corp.,3303,Hitech Corporation Ltd,Packaging,Packaging - Plastic Containers
Madhur Inds,3304,Madhur Industries Ltd,FMCG,Food - Processing - Spices / Pickles
TMT (I),3305,TMT (I) Ltd,Capital Goods-Non Electrical Equipment,Engineering - Light - General - Medium / Small
Ludlow Jute,3308,Ludlow Jute & Specialities Ltd,Textiles,Textiles - Jute - Yarn / Products
Rishabh Agro Ind,3310,Rishabh Agro Industries Ltd,FMCG,Food and Dairy Products - Indian - Medium / Small
Mrinal Dyeing,3311,Mrinal Dyeing & Mfg Co Ltd,Textiles,Textiles - Texturising
Filatex India,3313,Filatex India Ltd,Textiles,Textiles - Manmade - PFY / PSF - From Chips
CRISIL,3314,CRISIL Ltd,Credit Rating Agencies,Miscellaneous - Large
Videocon Inds.,3315,Videocon Industries Ltd,Consumer Durables,Electronics - TV / Audio / VCR / VCP
Jattashankar Ind,3317,Jattashankar Industries Ltd,Textiles,Textiles - Texturising
Eider Electronic,3319,Eidar Electronics Industries Ltd,Telecomm Equipment & Infra Services,Telecommunications - Equipment - Medium / Small
Havells India,3321,Havells India Ltd,Capital Goods - Electrical Equipment,Electric Equipment - Switchgears/Relays/Circuits
Suraj Industries,3325,Suraj Industries Ltd,Edible Oil,Vanaspati - Medium / Small
Inter Globe Fin,3326,Inter Globe Finance Ltd,Finance,Finance - Small
Kamadgiri Fash.,3327,Kamadgiri Fashion Ltd,Textiles,Textiles - Weaving
Mid East Port.,3328,Mid East Portfolio Management Ltd,Finance,Finance - Small
Mold-Tek Technol,3329,Mold-Tek Technologies Ltd,Engineering,Engineering - Light - General - Medium / Small
Crestchem,3330,Crestchem Ltd,Chemicals,Chemicals - Organic - Medium / Small
