CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
DIC India,24.31,32.05,99.45,106.08,141.44,184.47,151.58,89.57,70.97,48.71,125.02,75.79,54.64,70.21,98.53,115.2,144.28,127.81,218.83,103.22,184.27,239.98,179.95,222.91,332.37,347.01,629.45,409.47,520.26,341.0,298.64,379.18,362.11,352.47
Colgate-Palmoliv,,958.92,2766.5,2156.61,6492.11,5405.6,3562.94,3739.73,3875.72,2447.82,1973.21,2101.05,1916.1,1652.28,1771.27,2468.9,5875.45,4520.31,5199.96,6402.2,9183.4,11081.28,15177.6,16951.72,18678.92,27382.92,22510.89,27153.69,28767.92,34228.03,34078.44,42418.88,41926.59,40986.88
Clariant Chemica,52.4,63.52,190.56,125.19,524.25,495.13,384.45,343.68,279.48,278.29,162.23,62.09,140.15,232.88,287.7,294.75,384.74,898.84,876.98,410.7,1247.42,1930.58,1508.96,1705.17,1648.65,2310.13,1372.67,1656.12,1228.99,837.75,526.96,857.84,1052.41,613.86
Computer Point,1.2,2.6,18.0,,4.0,4.8,,,0.4,1.36,5.68,3.09,4.95,1.9,2.12,9.0,2.79,3.18,4.47,6.6,22.8,10.56,4.95,3.9,3.51,3.36,3.93,4.65,3.69,2.76,1.11,1.26,5.19,6.12
Tata Coffee,,,,,,,,147.41,171.18,95.1,183.62,142.16,101.01,85.17,152.38,365.87,454.03,447.6,393.53,278.94,671.91,1798.97,1559.81,2759.63,1781.51,1701.48,1677.2,2352.37,2117.98,1685.6,1048.72,2235.64,4046.38,3845.6
Coromandel Inter,,172.67,462.08,88.16,88.16,131.33,121.6,97.28,94.97,102.14,99.15,95.35,127.85,121.72,274.56,523.7,1217.77,831.54,1627.04,1268.89,4418.58,8060.89,8056.93,5237.35,6289.47,7817.16,5532.18,9123.41,15315.04,14605.89,15933.75,22711.91,23454.77,25851.16
CG Power & Indu.,,163.2,576.0,351.27,565.94,664.2,1071.2,465.76,217.25,187.52,200.58,125.43,240.9,269.18,806.76,2269.45,5495.71,7310.84,10085.62,4512.23,16749.57,17509.74,8862.32,6010.86,10009.14,10403.99,3083.59,4863.55,4872.95,2679.34,320.27,8944.52,27286.88,45821.58
DCM,,,,86.4,109.44,,128.61,62.57,42.41,19.29,,18.25,6.87,12.34,17.64,52.75,92.37,85.6,78.21,28.16,78.82,132.52,162.42,106.71,150.25,144.51,138.34,231.51,164.55,114.77,27.92,45.57,154.93,131.1
Dalmia Bharat,20.09,74.62,258.3,97.58,202.73,321.3,191.25,152.24,96.47,145.35,138.47,98.57,114.75,98.69,218.56,295.52,1010.57,1551.4,2293.71,633.84,2033.46,194.68,109.28,117.38,127.9,140.85,803.83,1402.05,520.51,993.66,395.85,1510.12,3900.58,2724.37
Bharatpur Nutri.,,,,,,19.5,13.5,4.73,2.85,,,,6.0,,,,,,,,,,,,,,,,,,,,,
Deccan Cements,,,39.6,9.28,25.0,46.38,42.7,14.88,16.31,16.1,18.62,12.92,17.75,23.45,26.92,44.56,62.34,88.34,175.46,93.8,128.8,95.9,124.18,145.36,119.42,216.44,403.38,793.03,709.76,583.97,262.22,579.56,775.6,579.77
Deepak Fertiliz.,,98.13,673.1,84.87,76.09,169.74,84.67,88.2,125.69,135.83,149.06,122.16,150.38,164.05,291.5,552.57,875.39,748.82,867.89,499.21,1004.6,1399.73,1331.82,882.88,1060.16,1207.9,1301.39,2308.19,2531.78,1171.74,669.19,2329.74,6780.94,6917.2
Deepak Nitrite,,23.33,117.48,29.37,24.03,39.38,16.02,9.78,12.08,32.83,32.6,16.01,16.1,22.02,33.06,52.3,172.84,111.15,103.04,73.07,143.17,185.28,151.05,277.03,447.73,709.81,787.85,1715.59,3394.14,3745.35,5272.95,22599.64,30608.64,25128.37
Deltron,1.68,1.8,,,,5.85,3.96,2.88,2.22,4.4,5.6,3.36,,,,3.32,3.97,,6.44,5.77,10.83,,,,,,,,,,,,,
Dharamsi Morarji,33.38,48.32,143.84,103.92,90.77,87.64,37.56,26.92,31.3,23.48,22.32,11.64,11.57,11.16,12.15,23.88,28.3,31.07,,8.59,31.4,22.24,15.95,15.95,20.58,33.48,121.29,208.64,236.56,365.99,168.72,793.46,907.69,598.31
DCW,,67.82,244.92,151.19,149.34,191.76,86.29,52.73,38.35,30.48,19.5,14.84,39.34,30.02,81.1,128.89,195.15,180.31,346.2,154.57,348.17,216.75,206.76,265.4,248.61,358.67,528.33,671.13,681.75,483.96,190.81,683.9,1063.7,1283.63
Diamines & Chem.,,9.94,26.6,9.98,6.41,5.7,5.32,1.14,0.95,3.82,3.97,5.64,2.8,4.56,8.51,21.26,42.45,35.37,25.75,14.7,31.79,47.56,39.66,24.06,20.49,26.6,32.91,54.13,84.11,117.65,144.65,258.34,265.77,392.86
Dunlop India,108.24,102.07,132.93,,119.16,180.41,72.16,51.27,39.88,31.33,,12.34,,,,,,,,,489.82,383.29,70.11,,74.53,134.79,,,,,,,,
Fermenta Biotec.,,12.42,75.6,25.92,43.2,41.04,32.06,27.48,37.79,111.07,92.75,58.62,30.89,27.11,44.53,44.25,68.55,51.22,43.51,24.67,57.25,88.68,115.85,111.66,116.5,136.26,159.84,176.09,654.24,754.97,626.14,736.66,605.4,314.76
EID Parry,,48.67,172.7,100.35,255.75,264.69,196.02,131.42,142.56,181.41,184.7,103.98,128.16,134.32,358.25,952.83,2550.32,1144.63,1548.49,1247.16,2946.26,3713.41,3293.19,2619.42,2361.87,3092.58,3833.64,4985.94,4893.03,3642.56,2473.5,5644.25,8017.87,8296.28
P & G Health Ltd,,,126.97,100.24,311.91,370.92,266.39,247.0,354.9,624.24,1079.04,729.36,465.42,427.23,717.56,945.76,877.06,752.38,753.81,510.35,957.99,1189.39,988.2,1079.08,931.68,1319.37,1293.14,1655.85,2139.16,5119.77,6751.55,9286.04,6950.92,8713.67
EIH,,113.28,542.8,453.12,1121.58,1318.2,2129.4,2302.54,2051.07,1111.19,749.18,1100.45,1122.46,812.57,1429.72,1650.29,3738.55,3693.73,5383.42,3397.05,4758.62,4618.28,4892.63,3160.78,4163.88,6124.37,5992.91,6881.7,9093.67,11577.14,3760.93,5797.13,9649.37,10356.03
Eicher Motors,17.5,40.0,80.0,22.5,32.5,102.5,98.0,43.0,25.6,25.9,82.0,46.0,85.0,138.0,463.4,870.79,857.87,695.65,703.51,660.12,1748.86,3319.55,3983.45,7838.24,13457.13,40937.71,51986.1,69533.48,77233.91,56035.07,35735.22,71169.84,67274.39,80681.17
Elecon Engg.Co,40.96,28.96,67.8,14.13,28.25,25.43,19.21,26.56,31.08,29.1,19.49,8.16,6.22,4.35,14.89,97.07,787.09,1204.95,1756.72,288.76,673.63,632.31,568.71,286.91,368.25,726.7,593.78,592.98,863.38,709.66,213.74,710.79,1614.0,4284.92
