CO_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Spice Comm.,,,,,,,,,,,,,,,,,,,4346.5,3956.69,,,,,,,,,,,,,,
Vishal Exports,,,,,,,,,,,,,,,,301.2,214.56,96.48,47.52,45.36,,,,,,,,,,,,,,
D C Holdings,,,,,,,,,,,,,,,,599.69,1882.97,3708.86,4011.46,1160.83,3733.51,1953.69,213.55,,,,,,,,,,,
Baheti Recycling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.71
Gandhidham Spg.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSBC InvestDir,,,,,,,,,,,,,,,,,1448.48,1141.88,834.59,421.14,1637.58,,,,,,,,,,,,,
Minda Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devyani Intl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21119.03,17417.72
Lumax Auto.Sys.,,,,,,,,,,,,,,,,32.12,45.84,51.84,28.49,10.36,27.86,25.53,20.31,12.91,12.79,25.35,,,,,,,,
JK Sugar,,,,,,,,,,,,,,,4.93,30.29,72.83,29.68,20.98,12.44,28.39,18.75,17.3,,,,,,,,,,,
Florence Invest.,,,,,,,,,,,,,,,10.67,51.25,94.31,75.41,98.84,56.62,139.77,97.65,112.21,,47.19,111.62,105.73,275.06,589.41,,,,,
Mawana Sugar(mer,,,,,,,,,,,,,,,136.18,440.41,331.0,,,,,,,,,,,,,,,,,
Priyanka Udyog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fres.Kabi Onco.,,,,,,,,,,,,,,,,720.15,807.04,1096.12,1013.85,581.49,1948.57,1412.18,2403.48,1713.61,,,,,,,,,,
Kojam Fininvest,,,,,,,,,,,,,,,,132.0,220.8,198.15,,,,,,,,,,,,,,,,
AVTIL Enterp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayepee Lamitubes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pagita Leasing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam-Tul Invest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santowin Corp.,,,,,,,,,,,,,,,,,,,,,,178.97,222.41,11.54,8.68,2.96,,,,,,,,
Vivek Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zylog Systems,,,,,,,,,,,,,,,,,,,301.45,153.4,692.55,684.24,1029.44,143.77,63.72,24.9,24.78,,,,,,,
Indiabulls Fin.,,,,,,,,,,,,,,,,1404.46,4097.59,7634.45,10497.9,2281.58,3250.33,4798.73,6476.09,,,,,,,,,,,
South India Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bikaji Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9034.75
Sh.Ganesh Forg.,,,,,,,,,,,,,,,,,78.44,31.31,63.44,10.3,11.31,5.43,4.3,1.75,4.58,3.5,2.46,2.29,,0.64,,,,
Claris Lifescien,,,,,,,,,,,,,,,,,,,,,,1364.15,674.9,1271.61,1231.41,1413.31,712.11,1748.9,2163.88,,,,,
Ashim Investment,,,,,,,,,,,,,,,,,,23.15,,,,,,,,,,,,,,,,
Evergreen Commer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kamakhya (India),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prix India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shri Ramrupai,,,,,,,,,,,,,,,,,113.19,,,,,,,,,,,,,,,,,
Fame India,,,,,,,,,,,,,,,,,203.0,164.27,216.46,35.29,295.97,195.55,375.01,,,,,,,,,,,
Nuvama Wealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vikash Metal,,,,,,,,,,,,,,,,,41.83,38.6,69.54,21.95,52.86,43.37,38.37,5.77,,,,,,,,,,
Pyramid Saimira,,,,,,,,,,,,,,,,,,761.01,868.34,70.38,,,,,,,,,,,,,,
Compulink Sys.,,,,,,,,,,,,,,,,,35.52,20.17,25.72,9.55,,,,,,,,,,,,,,
Cyber Media Res.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.14
Varun Inds.,,,,,,,,,,,,,,,,,,,133.65,47.09,373.33,534.17,242.92,33.39,,,,,,,,,,
Reliance En Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reliance Cap Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rel.Nat.Resour.,,,,,,,,,,,,,,,,,,3255.64,16282.41,7324.63,10166.3,,,,,,,,,,,,,
Sancia Global,,,,,,,,,,,,,,,,,,,174.88,32.04,103.75,25.56,26.69,7.81,3.17,4.73,3.12,2.13,,,,,,
Glory Films,,,,,,,,,,,,,,,,,,,115.21,74.77,60.81,23.49,16.29,6.84,,,,,,,,,,
Reliance Petro.,,,,,,,,,,,,,,,,,,32175.0,70312.5,,,,,,,,,,,,,,,
Chemcel Biotech,,,,,,,,,,,,,,,,,,,,16.36,21.77,14.04,,2.65,,,,,,,,,,
Broadcast Init.,,,,,,,,,,,,,,,,,,116.73,52.91,20.68,34.28,29.82,24.04,11.64,8.35,8.48,,,,,,,,
Evinix Indus.,,,,,,,,,,,,,,,,,,90.84,153.49,19.15,38.09,10.7,,,,,,,,,,,,
Cairn India,,,,,,,,,,,,,,,,,,,45829.37,34908.21,57914.49,66804.94,63621.33,51987.18,63485.92,40093.73,28938.5,,,,,,,
Ranklin Sol.,,,,,,,,,,,,,,,,,,,,8.97,28.0,7.16,,,,,,,,,,,,
Decolight Cera.,,,,,,,,,,,,,,,,,,,36.59,11.26,15.52,48.19,14.99,33.93,14.45,6.77,,,,,,,,
Reliance Broad.,,,,,,,,,,,,,,,,,,,,,1083.9,588.8,423.92,197.86,549.07,,,,,,,,,
Circuit Systems,,,,,,,,,,,,,,,,,,,24.96,10.72,22.37,11.88,13.08,7.74,11.51,20.11,19.28,,,,,,,
Netflier Finco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teleper.Business,,,,,,,,,,,,,,,,,,233.77,235.39,36.98,60.97,173.21,,,,,,,,,,,,
Sah Polymers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.31
Elin Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599.64
Dhanus Tech.,,,,,,,,,,,,,,,,,,,444.64,61.09,,26.55,202.13,,,,,,,,,,,
Koutons Retail,,,,,,,,,,,,,,,,,,,2461.72,1374.75,1062.07,97.61,39.72,,,,,,,,,,,
Dalmia Bharat Re,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHI Investments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solectron EMS,,,,,,,,,,,,,,,,,,,134.01,14.02,,,,,,,,,,,,,,
Octav Invest.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REI Six Ten,,,,,,,,,,,,,,,,,,,,,1094.61,631.61,175.64,34.72,8.68,7.36,4.71,,,,,,,
Anu's Lab.,,,,,,,,,,,,,,,,,,,,317.1,159.15,74.87,42.79,,,,,,,,,,,
Capital First,,,,,,,,,,,,,,,,,,,4023.01,656.9,1174.35,901.74,782.14,1154.43,1457.62,3640.2,3936.45,7631.56,6118.03,,,,,
First Winner,,,,,,,,,,,,,,,,,,,,22.34,40.07,54.24,70.07,31.59,18.03,19.54,14.57,15.57,,,,,,
Teledata Marine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teledata Tech,,,,,,,,,,,,,,,,,,,,,189.34,34.97,,,,,,,,,,,,
Nextgen Animat.,,,,,,,,,,,,,,,,,,,,14.71,141.03,52.32,,,,,,,,,,,,
TVS Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinethra Infra,,,,,,,,,,,,,,,,,,,,100.13,139.21,,,,,,,,,,,,,
R R Kabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bharat Financial,,,,,,,,,,,,,,,,,,,,,,3774.02,858.55,1315.29,2216.68,5769.04,6947.37,11137.16,15291.19,,,,,
Ethos Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2245.15
Cyient DLM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Mahendra Exp,,,,,,,,,,,,,,,,,,,,,,1416.3,816.0,440.4,1123.2,56.09,,,,,,,,
Epigral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4045.95,3919.43
Rolex Rings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3413.42,5448.7
Welspun Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrow Textiles,,,,,,,,,,,,,,,,,,,,,11.11,20.26,11.63,12.24,9.58,50.55,61.78,83.68,64.45,33.89,,,,
ESL Steel,,,,,,,,,,,,,,,,,,,,,,1660.35,1273.75,1067.13,870.32,954.06,807.09,1067.29,587.85,,,,,
Frog Cellsat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.1
Dev Labtech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.12
Prabhat Dairy,,,,,,,,,,,,,,,,,,,,,,,,,,,1071.51,1188.23,1463.68,748.2,531.85,,,
Star Health Insu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40899.48,30159.97
Senco Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aeroflex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tarsons Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3746.79,2834.56
Medplus Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12052.86,7768.59
Bright Outdoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.5
Global Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14111.09
Quality Foils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.1
Marco Cables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sai Silks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishna Institu.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11043.43,11253.51
Veekayem Fash.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.59
Tega Inds.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3116.77,4678.3
Kirl.Bros.Inv.,,,,,,,,,,,,,,,,,,,,,,262.3,391.25,384.05,450.89,2116.0,,,,,,,,
Premier Energy,,,,,,,,,,,,,,,,,,,,,72.1,44.0,99.03,70.09,65.13,36.1,20.68,19.39,,,,,,
Spencer's Ret.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G R Infraproject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14849.98,9700.81
Midfield Indus.,,,,,,,,,,,,,,,,,,,,,,66.92,51.28,,,,,,,,,,,
Samruddhi Cem.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rainbow Child.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7412.16
Techno Elec.,,,,,,,,,,,,,,,,,,,,,,1382.39,1058.63,875.91,636.38,2218.91,3062.56,4587.28,,,,,,
Mega Flex Plast.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.32
Windlas Biotech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.9,479.02
Delta Leasing,,,,,,,,,,,,,,,,,,,,,,,,,107.3,18.91,4.79,3.32,2.98,,,,,
Mangalam Alloys,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tirupati Inks,,,,,,,,,,,,,,,,,,,,,,15.91,7.42,5.98,33.08,16.57,10.01,4.49,,,,,,
Shri Aster Silic,,,,,,,,,,,,,,,,,,,,,,37.22,12.99,17.83,18.8,16.28,,,,,,,,
Shilpi Cable,,,,,,,,,,,,,,,,,,,,,,,37.37,42.96,110.22,429.52,578.61,2413.44,,,,,,
ARCL Organics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mankind Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AcroPetal Tech.,,,,,,,,,,,,,,,,,,,,,,238.98,53.67,22.98,13.46,11.04,,,,,,,,
Dalmia Bhar.,,,,,,,,,,,,,,,,,,,,,,1501.6,1167.1,1204.44,2063.02,3434.31,7071.5,17501.35,,,,,,
Sansera Enginee.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3537.21,3942.99
Latent View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8468.83,6590.66
Pyramid Technopl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data Pattern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3648.93,7701.71
One 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34257.01,40372.31
Pennar Engg.Bld.,,,,,,,,,,,,,,,,,,,,,,,,,,,557.65,431.18,273.0,,,,,
MMS Infra.,,,,,,,,,,,,,,,,,,,,,,,,,,1.82,,,,,,,,
Hemant Surgical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birla Pacific,,,,,,,,,,,,,,,,,,,,,,,55.06,14.8,,,,,,,,,,
Servalaksh.Paper,,,,,,,,,,,,,,,,,,,,,,34.92,21.08,11.25,11.77,8.06,15.74,,,,,,,
Para. Print.,,,,,,,,,,,,,,,,,,,,,,,16.55,3.28,2.91,1.66,3.42,,,,,,,
AGS Transact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1214.03,564.8
Oswal Minerals,,,,,,,,,,,,,,,,,,,,,,,20.03,10.08,,,,,,,,,,
Taksheel Sol.,,,,,,,,,,,,,,,,,,,,,,,23.69,14.68,,,,,,,,,,
eMudhra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1684.02
PB Fintech.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31157.08,28755.68
VKS Projects,,,,,,,,,,,,,,,,,,,,,,,,325.8,27.72,10.71,5.67,,,,,,,
Dodla Dairy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666.17,2762.25
Prudent Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3354.98
Keystone Realtor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5271.39
JSW Infrast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eureka Forbes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7567.39,8252.0
Aptus Value Hou.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16895.22,12122.06
Updater Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marico Kaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welspun Enterpr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machhar Industri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K D Trend Wear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning Edge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMS Info Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4056.25,4273.02
Jupiter Life Lin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shyam Metalics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9233.92,6725.2
Premier Chennai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crayons Advertis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniparts India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447.83
Global Surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,696.97
Indong Tea Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.55
Fusion Microfin.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4010.64
Cartrade Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2712.27,1816.62
Rhetan TMT Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1179.38
Landmark Cars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2153.6
Arvind & Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krishna Filament,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pritika Autocast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shriram Properti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320.52,1025.56
Srivasavi Adhes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.95
Inox Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.66
Yudiz Solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clean Science,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21169.97,13432.14
Gateway Distri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3307.64,3130.77
Max India,,,,,,,,,,,,,,,,,,,,,,,,,,,,4073.2,2236.97,1786.29,,,,
Anand Rathi Wea.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2521.74,3365.91
Asian Warehous.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dune Mercantile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yatra Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zomato Ltd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64786.01,43588.69
Delhivery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24222.49
SJS Enterprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262.56,1205.19
Archean Chemical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8007.06
Euro Panel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.46,263.38
Baba Agro Food,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.01,84.82,92.63,,,
GACM Tech-DVR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.12,87.42
Vineet Laborator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7,37.85
SBFC Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vedant Fashions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23430.56,27651.43
Utkarsh Small F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Committed Cargo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krsnaa Diagnost.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1524.51,1444.76
Hariom Pipe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308.7
Lloyds Luxuries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5
Amrit India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agni Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.36
Sapphire Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9385.55,7740.12
Rex Pipes&Cables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.9,33.76
Concord Biotech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndInfravit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exxaro Tiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,519.22,454.79
Harsha Engg Intl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3050.89
Sula Vineyards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3098.16
Deep Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729.92,855.68
Ami Organics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3642.43,3239.07
Sahaj Fashions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAPS Advertising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.9
Synoptics Techno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFin Technolog.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4736.71
Shelter Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Organic Recyclin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudarshan Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.29
Oriental Infra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suyog Gurbaxani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.12,111.88
Samhi Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.E. Analytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157.6
Times Green Ener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.32,9.96
Adeshwar Meditex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.61,24.17
Mindspace Busine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17475.65,20548.67,19446.25
Data Infr.Trust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vishnu Prakash R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRM Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Platinumone Bus.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1,35.92
Adishakti Loha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.49,3.37
Sigachi Indust.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888.92,692.01
Nandini Texcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AA Plus Trade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.02,
Navoday Enterpri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,4.1
DDev Plastiks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,742.99
Robust Hotels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aveer Foods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.17
GHCL Textiles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Divgi Torq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014.8
India Pesticides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3099.05,2387.92
QMS Medical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233.3
Network People,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.7,349.37
Paras Defence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2439.84,1834.37
GMR Urban,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967.72,966.96
SBL Infratech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6,6.14
Kamdhenu Venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552.31
Phantom Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.21
Digikore Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inox Wind Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,785.59,1234.27
Dollex Agrotech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.17
Maks Energy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.3
Tatva Chintan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5115.03,3694.69
Walpar Nutrition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.26,22.93
Shri Venkatesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.31,178.28
Glenmark Life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5624.0,4798.16
Nanavati Venture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.43
Getalong Enterp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09,20.83
Abhishek Integr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,12.33
Supriya Lifesci.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3967.0,1534.81
Prevest Denpro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,433.31,333.86
BEW Engg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.32,183.4
Meghmani Organi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2651.23,1973.99
Vijaya Diagnost.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4463.56,3993.02
Naapbooks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.77,11.38
Focus Business,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.99,9.17
AB Cotspin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.23,45.29
Uma Converter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.23
Aashka Hospitals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.23,98.7
Dhampur Bio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951.33
NMDC Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9102.46
HP Adhesives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.39,664.99
Gretex Corporate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.14,205.75
Manoj Vaibhav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEML Land Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fino Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2085.35,1695.49
FSN E-Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80069.2,35113.62
DU Digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,584.74,260.19
Go Fashion (I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5484.61,5415.75
Rategain Travel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3585.77,3715.82
Tracxn Technolo.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652.72
C.E. Info System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8035.16,5319.12
D.K. Enterprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.91,42.04
Quadpro ITeS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.75,25.28
Vivo Collaborat.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.39,18.03
Jainam Ferro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158.58,145.85
Bombay Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.11,261.06
Indiabulls Enter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.86
Aarti Pharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2489.04
Markolines Pavem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.57,199.67
Samor Reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.31,52.68
